OBJECTID,ROADNAME,MAP_TYPE,MPWBIKEID,SHAPELEN
1,DUMESNIL ST,4,1,186.297444090755
2,DUMESNIL ST,4,2,388.163770213894
3,DUMESNIL ST,4,3,56.1498613749147
4,W OAK ST,4,4,439.79940221705
5,VIRGINIA AVE,4,5,792.286624930903
6,S 28TH ST,4,6,491.746940564147
7,DUMESNIL ST,4,7,600.004261050623
8,DUMESNIL ST,4,8,43.8155773756056
9,DUMESNIL ST,4,9,373.982174450135
10,VIRGINIA AVE,4,10,382.927209299583
11,DUMESNIL ST,4,11,189.554807115308
12,W OAK ST,4,12,600.375455281109
13,DUMESNIL ST,4,13,383.91754978173
14,DUMESNIL ST,4,14,89.2138128234388
15,LEXINGTON RD,2,15,291.202492088492
16,LEXINGTON RD,2,16,427.16092170987
17,LEXINGTON RD,2,17,940.019785446765
18,LEXINGTON RD,2,18,920.008775195973
19,LEXINGTON RD,2,19,83.1649885807839
20,LEXINGTON RD,2,20,420.251615040951
21,LEXINGTON RD,2,21,515.527138553922
22,LEXINGTON RD,2,22,273.582766514034
23,LEXINGTON RD,2,23,455.548993550438
24,LEXINGTON RD,2,24,424.685293861447
25,LEXINGTON RD,2,25,95.8635821507449
26,LEXINGTON RD,2,26,328.949555049955
27,LEXINGTON RD,2,27,592.822856474462
28,LEXINGTON RD,2,28,73.6567852975946
29,LEXINGTON RD,2,29,152.414527673681
30,LEXINGTON RD,2,30,400.146840722102
31,CLIFF AVE,3,31,340.679873855824
32,S 2ND ST,3,32,509.530374743663
33,CARLISLE AVE,3,33,369.527784476821
34,LESTER AVE,3,34,390.490163619749
35,MONTANA AVE,3,35,337.064928507129
36,UTAH AVE,3,36,343.286830018425
37,CLIFF AVE,3,37,1189.32826037866
38,PEACHTREE AVE,3,38,317.657463518095
39,PEACHTREE AVE,3,39,392.996417879895
40,S RUTLAND AVE,3,40,1450.59728566321
41,W WOODLAWN AVE,3,41,521.947084413847
42,CLIFF AVE,3,42,377.835311060265
43,POWELL AVE,3,43,445.981572702992
44,S 2ND ST,3,44,407.155545264699
45,W WHITNEY AVE,3,45,619.303386489002
46,LESTER AVE,3,46,371.334451529195
47,E WHEATMORE DR,3,47,1160.00529087124
48,LESTER AVE,3,48,420.552854632773
49,W WOODLAWN AVE,3,49,474.677871564942
50,EARL AVE,3,50,723.313965334469
51,PEACHTREE AVE,3,51,418.001635684314
52,CARLISLE AVE,3,52,400.81883011329
53,STRADER AVE,3,53,369.310468619441
54,POWELL AVE,3,54,549.628155050061
55,CLIFF AVE,3,55,338.528272736083
56,W WHITNEY AVE,3,56,498.395077254286
57,E WHEATMORE DR,3,57,278.47771527474
58,CLIFF AVE,3,58,340.229568894566
59,W WOODLAWN AVE,3,59,452.763374816252
60,BERRY BLVD,4,60,165.722952692455
61,PHYLLIS AVE,3,61,283.232028716109
62,PEACHTREE AVE,3,62,167.17622922002
63,S 2ND ST,3,63,413.971502693149
64,WEYLER AVE,3,64,342.43556785584
65,S 2ND ST,3,65,308.953033700169
66,W WOODLAWN AVE,3,66,347.040185324513
67,PEACHTREE AVE,3,67,268.236469509364
68,POWELL AVE,3,68,549.159319016871
69,BROOKLINE AVE,3,69,487.46485064303
70,POWELL AVE,3,70,256.60522681294
71,S 2ND ST,3,71,512.032978824745
72,W WHITNEY AVE,3,72,663.929121181037
73,W WHITNEY AVE,3,73,523.02792927608
74,PEACHTREE AVE,3,74,366.258376660459
75,BROOKLINE AVE,3,75,451.482967757065
76,CLIFF AVE,3,76,340.412983130168
77,LESTER AVE,3,77,297.997209294573
78,CARLISLE AVE,3,78,371.586328257524
79,BICKNELL AVE,3,79,1056.8441481362
80,CAYUGA ST,3,80,413.243376297
81,CLIFF AVE,3,81,342.707375276208
82,STRADER AVE,3,82,291.021481582087
83,BICKNELL AVE,3,83,368.091752551329
84,CLIFF AVE,3,84,459.007288993948
85,CLIFF AVE,3,85,520.798411649601
86,MARCH BLVD,3,86,184.238163498894
87,CARLISLE AVE,3,87,369.322150316983
88,S 2ND ST,3,88,474.932711420808
89,BROOKLINE AVE,3,89,470.033617162333
90,W WOODLAWN AVE,3,90,110.720992127097
91,WARREN AVE,3,91,163.270904556199
92,W WHITNEY AVE,3,92,1236.52771637064
93,CARLISLE AVE,3,93,663.899695370076
94,CLIFF AVE,3,94,337.804382891437
95,LESTER AVE,3,95,126.026407518648
96,CLIFF AVE,3,96,669.269687740016
97,LESTER AVE,3,97,300.380914131902
98,W WOODLAWN AVE,3,98,382.031681479421
99,W FLORENCE AVE,3,99,169.256084298112
100,S WHEATMORE DR,3,100,578.519176023693
101,PEACHTREE AVE,3,101,294.168927102732
102,PEACHTREE AVE,3,102,336.166656437318
103,CLIFF AVE,3,103,1240.39458945864
104,CARLISLE AVE,3,104,370.945787159286
105,S 2ND ST,3,105,509.394404764275
106,PEACHTREE AVE,3,106,114.066361997876
107,UTAH AVE,3,107,245.600563307243
108,CARLISLE AVE,3,108,370.097289795934
109,WEYLER AVE,3,109,316.704986329256
110,W WHITNEY AVE,3,110,451.593584661055
111,WEYLER AVE,3,111,325.247950380908
112,S 2ND ST,3,112,274.688484853222
113,CARLISLE AVE,3,113,698.159137613812
114,PEACHTREE AVE,3,114,305.896180101706
115,CARLISLE AVE,3,115,368.447752227855
116,POWELL AVE,3,116,490.105147031321
117,WEYLER AVE,3,117,502.900360756476
118,SALE AVE,3,118,1028.10370620831
119,CLIFF AVE,3,119,339.332548495203
120,W COLLINS CT,3,120,240.470636946721
121,S 2ND ST,3,121,493.522687550654
122,BICKNELL AVE,3,122,812.347714008747
123,CAYUGA ST,3,123,761.87636545588
124,CAYUGA ST,3,124,340.090249566665
125,CLIFF AVE,3,125,530.456096154851
126,WESTPORT RD,2,126,533.084360079485
127,WHIPPS MILL RD,2,127,1935.35284769783
128,PLANTSIDE DR,2,128,531.749259466452
129,S 2ND ST,2,129,652.812685344428
130,W KENTUCKY ST,2,130,312.19876736809
131,S 7TH ST,2,131,228.48241120323
132,GOLDSMITH LN,2,132,547.511935369653
133,TAYLORSVILLE RD,2,133,942.062784114397
134,W BROADWAY,2,134,141.876168589911
135,W BROADWAY,2,135,55.0594653106018
136,W MARKET ST,2,136,480.320818676265
137,W BRECKINRIDGE ST,2,137,239.203958040065
138,S 3RD ST,2,138,705.850004006145
139,BRADLEY AVE,3,139,268.239313069515
140,GRINSTEAD DR,2,140,707.812225720014
141,W MAIN ST,4,141,481.691304432662
142,S 4TH ST,2,142,466.071547868639
143,WESTPORT RD,2,143,593.663473398424
144,POPLAR LEVEL RD,2,144,633.282100913618
145,S 3RD ST,2,145,794.718667694229
146,E BRECKINRIDGE ST,2,146,185.434823736791
147,W BROADWAY,2,147,239.549066989552
148,W MAIN ST,4,148,479.30977614814
149,PLANTSIDE DR,2,149,2507.00831801721
150,JOHNSONTOWN RD,2,150,450.651003931203
151,S 3RD ST,2,151,557.885527067305
152,WESTPORT RD,2,152,453.726573533666
153,TAYLORSVILLE RD,2,153,524.277478027907
154,S HANCOCK ST,3,154,246.432161422509
155,SOUTHWESTERN PKY,2,155,351.281375814142
156,E BRECKINRIDGE ST,2,156,621.986778578623
157,TAYLORSVILLE RD,2,157,294.235125865274
158,CAMP GROUND RD,2,158,2859.47650183572
159,POPLAR LEVEL RD,2,159,391.169086869758
160,BANK ST,4,160,504.852717952801
161,CAMP GROUND RD,2,162,750.868057369858
162,W BROADWAY,2,163,180.078639370824
163,WESTPORT RD,2,165,338.631524392018
164,POPLAR LEVEL RD,2,166,123.958748853407
165,WESTPORT RD,2,167,988.915893688348
